
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving left'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving backward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving right'
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving forward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving backward'
green, b'06:39:23 Car is stopping'
green, b'06:39:23 Car is moving right'
green, b'06:39:23 Car is stopping'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving left'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving backward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving right'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving forward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving backward'
green, b'06:47:07 Car is stopping'
green, b'06:47:07 Car is moving right'
green, b'06:47:07 Car is stopping'
